COUNTRY|PERIOD|NUTS3|LAU_CODE|EU_LAU_CODE|LAU_NAME_NATIONAL|LAU_NAME_LATIN|CHANGE|POPULATION|TOTAL_AREA_(m2)|DEGURBA|COASTAL_AREA|CITY_ID|CITY_NAME|FUA_ID|FUA_NAME
AT|2024|AT111|10801|AT_10801|Deutschkreutz|Deutschkreutz|N|3140|34112890|3|0||||
AT|2024|AT111|10802|AT_10802|Draßmarkt|Draßmarkt|N|1381|36226174|3|0||||
AT|2024|AT111|10803|AT_10803|Frankenau-Unterpullendorf|Frankenau-Unterpullendorf|N|1088|29949580|3|0||||
AT|2024|AT111|10804|AT_10804|Großwarasdorf|Großwarasdorf|N|1362|42494476|3|0||||
AT|2024|AT111|10805|AT_10805|Horitschon|Horitschon|N|1807|18727154|3|0||||
AT|2024|AT111|10806|AT_10806|Kaisersdorf|Kaisersdorf|N|595|12508385|3|0||||
AT|2024|AT111|10807|AT_10807|Kobersdorf|Kobersdorf|N|1878|27287913|3|0||||
AT|2024|AT111|10808|AT_10808|Lackenbach|Lackenbach|N|1161|18107485|3|0||||
AT|2024|AT111|10809|AT_10809|Lockenhaus|Lockenhaus|N|2072|58854905|3|0||||
AT|2024|AT111|10810|AT_10810|Lutzmannsburg|Lutzmannsburg|N|842|23184330|3|0||||
AT|2024|AT111|10811|AT_10811|Mannersdorf an der Rabnitz|Mannersdorf an der Rabnitz|N|1783|38421491|3|0||||
AT|2024|AT111|10812|AT_10812|Markt Sankt Martin|Markt Sankt Martin|N|1281|32113317|3|0||||
AT|2024|AT111|10813|AT_10813|Neckenmarkt|Neckenmarkt|N|1675|26918628|3|0||||
AT|2024|AT111|10814|AT_10814|Neutal|Neutal|N|1140|11567104|3|0||||
AT|2024|AT111|10815|AT_10815|Nikitsch|Nikitsch|N|1389|50763483|3|0||||
AT|2024|AT111|10816|AT_10816|Oberpullendorf|Oberpullendorf|N|3337|12648841|3|0||||
AT|2024|AT111|10817|AT_10817|Pilgersdorf|Pilgersdorf|N|1569|43902288|3|0||||
AT|2024|AT111|10818|AT_10818|Piringsdorf|Piringsdorf|N|824|16140182|3|0||||
AT|2024|AT111|10819|AT_10819|Raiding|Raiding|N|916|13068303|3|0||||
